nitrification,func1,aerobic_ammonia_oxidation,func2,dark_hydrogen_oxidation,func3,methanogenesis,func4,hydrogenotrophic_methanogenesis,func5,methanogenesis_by_CO2_reduction_with_H2,func6,methanogenesis_by_reduction_of_methyl_compounds_with_H2,func7,methylotrophy,func8,chemoheterotrophy,func9,fermentation,func10,aerobic_chemoheterotrophy,func11,aromatic_compound_degradation,func12,nitrogen_respiration,func13,nitrate_reduction,func14,nitrous_oxide_denitrification,func15,nitrite_denitrification,func16,nitrite_respiration,func17,denitrification,func18,nitrate_respiration,func19,nitrate_denitrification,func20,aliphatic_non_methane_hydrocarbon_degradation,func21,hydrocarbon_degradation,func22,aromatic_hydrocarbon_degradation,func23,ureolysis,func24,plant_pathogen,func25,cellulolysis,func26,manganese_oxidation,func27,ligninolysis,func28,methanotrophy,func29,animal_parasites_or_symbionts,func30,chitinolysis,func31,xylanolysis,func32,predatory_or_exoparasitic,func33,aerobic_nitrite_oxidation,func34,oxygenic_photoautotrophy,func35,phototrophy,func36,photosynthetic_cyanobacteria,func37,photoautotrophy,func38,chloroplasts,func39,nitrogen_fixation,func40,nonphotosynthetic_cyanobacteria,func41,iron_respiration,func42,manganese_respiration,func43,respiration_of_sulfur_compounds,func44,sulfur_respiration,func45,sulfate_respiration,func46,human_associated,func47,human_pathogens_all,func48,intracellular_parasites,func49,fumarate_respiration,func50,dark_oxidation_of_sulfur_compounds,func51,methanol_oxidation,func52,photoheterotrophy,func53,anoxygenic_photoautotrophy_H2_oxidizing,func54,anoxygenic_photoautotrophy,func55,anoxygenic_photoautotrophy_S_oxidizing,func56,human_pathogens_pneumonia,func57,dark_thiosulfate_oxidation,func58,dark_iron_oxidation,func59,nitrate_ammonification,func60,nitrite_ammonification,func61,human_pathogens_diarrhea,func62,human_gut,func63,mammal_gut,func64,human_pathogens_gastroenteritis,func65
Zotu4209,nitrification,Zotu4209,aerobic_ammonia_oxidation,Zotu10715,dark_hydrogen_oxidation,Zotu10715,methanogenesis,Zotu10715,hydrogenotrophic_methanogenesis,Zotu10715,methanogenesis_by_CO2_reduction_with_H2,Zotu1527,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu1527,methylotrophy,Zotu1527,chemoheterotrophy,Zotu23697,fermentation,Zotu8929,aerobic_chemoheterotrophy,Zotu8933,aromatic_compound_degradation,Zotu23880,nitrogen_respiration,Zotu23880,nitrate_reduction,Zotu23880,nitrous_oxide_denitrification,Zotu23880,nitrite_denitrification,Zotu23880,nitrite_respiration,Zotu23880,denitrification,Zotu23880,nitrate_respiration,Zotu23880,nitrate_denitrification,Zotu14897,aliphatic_non_methane_hydrocarbon_degradation,Zotu14897,hydrocarbon_degradation,Zotu14897,aromatic_hydrocarbon_degradation,Zotu22725,ureolysis,Zotu22725,plant_pathogen,Zotu25721,cellulolysis,Zotu13784,manganese_oxidation,Zotu5636,ligninolysis,Zotu16940,methanotrophy,Zotu16750,animal_parasites_or_symbionts,Zotu2859,chitinolysis,Zotu7356,xylanolysis,Zotu25936,predatory_or_exoparasitic,Zotu22770,aerobic_nitrite_oxidation,Zotu26071,oxygenic_photoautotrophy,Zotu26071,phototrophy,Zotu26071,photosynthetic_cyanobacteria,Zotu26071,photoautotrophy,Zotu2444,chloroplasts,Zotu27194,nitrogen_fixation,Zotu21735,nonphotosynthetic_cyanobacteria,Zotu10257,iron_respiration,Zotu22595,manganese_respiration,Zotu22595,respiration_of_sulfur_compounds,Zotu22595,sulfur_respiration,Zotu15363,sulfate_respiration,Zotu20603,human_associated,Zotu20603,human_pathogens_all,Zotu27139,intracellular_parasites,Zotu25324,fumarate_respiration,Zotu8734,dark_oxidation_of_sulfur_compounds,Zotu24861,methanol_oxidation,Zotu10137,photoheterotrophy,Zotu18601,anoxygenic_photoautotrophy_H2_oxidizing,Zotu18601,anoxygenic_photoautotrophy,Zotu12471,anoxygenic_photoautotrophy_S_oxidizing,Zotu21021,human_pathogens_pneumonia,Zotu11009,dark_thiosulfate_oxidation,Zotu10953,dark_iron_oxidation,Zotu23263,nitrate_ammonification,Zotu23263,nitrite_ammonification,Zotu9023,human_pathogens_diarrhea,Zotu9023,human_gut,Zotu9023,mammal_gut,Zotu9023,human_pathogens_gastroenteritis
Zotu3855,nitrification,Zotu3855,aerobic_ammonia_oxidation,Zotu15353,dark_hydrogen_oxidation,Zotu1527,methanogenesis,Zotu1527,hydrogenotrophic_methanogenesis,,,Zotu14142,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu14142,methylotrophy,Zotu14142,chemoheterotrophy,Zotu8933,fermentation,Zotu24668,aerobic_chemoheterotrophy,Zotu23594,aromatic_compound_degradation,Zotu22595,nitrogen_respiration,Zotu10314,nitrate_reduction,Zotu12471,nitrous_oxide_denitrification,Zotu12471,nitrite_denitrification,Zotu12471,nitrite_respiration,Zotu12471,denitrification,Zotu22595,nitrate_respiration,Zotu12471,nitrate_denitrification,Zotu12563,aliphatic_non_methane_hydrocarbon_degradation,Zotu12563,hydrocarbon_degradation,Zotu12563,aromatic_hydrocarbon_degradation,Zotu10314,ureolysis,Zotu18851,plant_pathogen,Zotu4749,cellulolysis,Zotu21661,manganese_oxidation,Zotu16466,ligninolysis,Zotu11548,methanotrophy,Zotu20603,animal_parasites_or_symbionts,Zotu13169,chitinolysis,Zotu26976,xylanolysis,Zotu27123,predatory_or_exoparasitic,Zotu17849,aerobic_nitrite_oxidation,Zotu23179,oxygenic_photoautotrophy,Zotu23179,phototrophy,Zotu23179,photosynthetic_cyanobacteria,Zotu23179,photoautotrophy,Zotu5132,chloroplasts,Zotu13607,nitrogen_fixation,Zotu24784,nonphotosynthetic_cyanobacteria,Zotu12480,iron_respiration,,,Zotu15363,respiration_of_sulfur_compounds,,,,,Zotu14484,human_associated,Zotu14484,human_pathogens_all,Zotu19808,intracellular_parasites,Zotu24688,fumarate_respiration,Zotu25112,dark_oxidation_of_sulfur_compounds,Zotu10617,methanol_oxidation,Zotu11007,photoheterotrophy,,,Zotu12471,anoxygenic_photoautotrophy,Zotu14507,anoxygenic_photoautotrophy_S_oxidizing,Zotu10235,human_pathogens_pneumonia,,,Zotu10395,dark_iron_oxidation,Zotu3730,nitrate_ammonification,Zotu3730,nitrite_ammonification,Zotu18591,human_pathogens_diarrhea,Zotu18591,human_gut,Zotu18591,mammal_gut,Zotu18591,human_pathogens_gastroenteritis
Zotu2274,nitrification,Zotu2274,aerobic_ammonia_oxidation,Zotu15786,dark_hydrogen_oxidation,Zotu14142,methanogenesis,Zotu14142,hydrogenotrophic_methanogenesis,,,Zotu15167,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu15167,methylotrophy,Zotu15167,chemoheterotrophy,Zotu23594,fermentation,Zotu20281,aerobic_chemoheterotrophy,Zotu9701,aromatic_compound_degradation,Zotu18494,nitrogen_respiration,Zotu24007,nitrate_reduction,Zotu14507,nitrous_oxide_denitrification,Zotu14507,nitrite_denitrification,Zotu14507,nitrite_respiration,Zotu14507,denitrification,Zotu18494,nitrate_respiration,Zotu14507,nitrate_denitrification,Zotu24233,aliphatic_non_methane_hydrocarbon_degradation,Zotu24233,hydrocarbon_degradation,Zotu24233,aromatic_hydrocarbon_degradation,Zotu24007,ureolysis,,,Zotu2051,cellulolysis,Zotu12606,manganese_oxidation,Zotu23089,ligninolysis,Zotu26869,methanotrophy,Zotu14484,animal_parasites_or_symbionts,Zotu17763,chitinolysis,Zotu11077,xylanolysis,Zotu14991,predatory_or_exoparasitic,Zotu14288,aerobic_nitrite_oxidation,Zotu2596,oxygenic_photoautotrophy,Zotu2596,phototrophy,Zotu2596,photosynthetic_cyanobacteria,Zotu2596,photoautotrophy,Zotu2063,chloroplasts,Zotu15369,nitrogen_fixation,Zotu24084,nonphotosynthetic_cyanobacteria,Zotu12844,iron_respiration,,,,,,,,,Zotu25291,human_associated,Zotu25291,human_pathogens_all,Zotu22707,intracellular_parasites,Zotu12032,fumarate_respiration,Zotu14234,dark_oxidation_of_sulfur_compounds,Zotu18472,methanol_oxidation,Zotu18601,photoheterotrophy,,,Zotu14507,anoxygenic_photoautotrophy,Zotu5232,anoxygenic_photoautotrophy_S_oxidizing,Zotu2152,human_pathogens_pneumonia,,,Zotu18948,dark_iron_oxidation,,,Zotu9023,nitrite_ammonification,Zotu6699,human_pathogens_diarrhea,Zotu6699,human_gut,Zotu6699,mammal_gut,Zotu6699,human_pathogens_gastroenteritis
Zotu22500,nitrification,Zotu22500,aerobic_ammonia_oxidation,Zotu21994,dark_hydrogen_oxidation,Zotu15167,methanogenesis,Zotu15167,hydrogenotrophic_methanogenesis,,,Zotu8356,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu8356,methylotrophy,Zotu8356,chemoheterotrophy,Zotu9701,fermentation,Zotu13811,aerobic_chemoheterotrophy,Zotu25561,aromatic_compound_degradation,Zotu13675,nitrogen_respiration,Zotu9847,nitrate_reduction,Zotu5232,nitrous_oxide_denitrification,Zotu5232,nitrite_denitrification,Zotu5232,nitrite_respiration,Zotu5232,denitrification,Zotu13675,nitrate_respiration,Zotu5232,nitrate_denitrification,Zotu22725,aliphatic_non_methane_hydrocarbon_degradation,Zotu22725,hydrocarbon_degradation,Zotu22725,aromatic_hydrocarbon_degradation,Zotu23216,ureolysis,,,Zotu22473,cellulolysis,Zotu15904,manganese_oxidation,Zotu3264,ligninolysis,Zotu11475,methanotrophy,Zotu25291,animal_parasites_or_symbionts,Zotu17078,chitinolysis,Zotu19618,xylanolysis,Zotu6912,predatory_or_exoparasitic,,,Zotu19508,oxygenic_photoautotrophy,Zotu19508,phototrophy,Zotu19508,photosynthetic_cyanobacteria,Zotu19508,photoautotrophy,Zotu11300,chloroplasts,Zotu23787,nitrogen_fixation,Zotu24833,nonphotosynthetic_cyanobacteria,Zotu15769,iron_respiration,,,,,,,,,Zotu25633,human_associated,Zotu25633,human_pathogens_all,Zotu27205,intracellular_parasites,Zotu9023,fumarate_respiration,Zotu18650,dark_oxidation_of_sulfur_compounds,Zotu15353,methanol_oxidation,Zotu26079,photoheterotrophy,,,Zotu5232,anoxygenic_photoautotrophy,Zotu2921,anoxygenic_photoautotrophy_S_oxidizing,Zotu5896,human_pathogens_pneumonia,,,Zotu10190,dark_iron_oxidation,,,Zotu18591,nitrite_ammonification,Zotu25636,human_pathogens_diarrhea,Zotu25636,human_gut,Zotu25636,mammal_gut,Zotu25636,human_pathogens_gastroenteritis
Zotu15313,nitrification,Zotu15313,aerobic_ammonia_oxidation,Zotu16820,dark_hydrogen_oxidation,Zotu8356,methanogenesis,Zotu8356,hydrogenotrophic_methanogenesis,,,Zotu6631,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu6631,methylotrophy,Zotu6631,chemoheterotrophy,Zotu25561,fermentation,Zotu26677,aerobic_chemoheterotrophy,Zotu2710,aromatic_compound_degradation,Zotu16754,nitrogen_respiration,Zotu2491,nitrate_reduction,Zotu2921,nitrous_oxide_denitrification,Zotu2921,nitrite_denitrification,Zotu2921,nitrite_respiration,Zotu2921,denitrification,Zotu16754,nitrate_respiration,Zotu2921,nitrate_denitrification,Zotu11475,aliphatic_non_methane_hydrocarbon_degradation,Zotu16940,hydrocarbon_degradation,,,Zotu22451,ureolysis,,,Zotu6559,cellulolysis,Zotu4348,manganese_oxidation,Zotu24594,ligninolysis,Zotu16997,methanotrophy,Zotu25633,animal_parasites_or_symbionts,Zotu21019,chitinolysis,Zotu13764,xylanolysis,Zotu10479,predatory_or_exoparasitic,,,Zotu3100,oxygenic_photoautotrophy,Zotu3100,phototrophy,Zotu3100,photosynthetic_cyanobacteria,Zotu3100,photoautotrophy,Zotu18514,chloroplasts,Zotu24363,nitrogen_fixation,Zotu4476,nonphotosynthetic_cyanobacteria,Zotu7780,iron_respiration,,,,,,,,,Zotu24892,human_associated,Zotu24892,human_pathogens_all,Zotu17866,intracellular_parasites,Zotu18591,fumarate_respiration,Zotu9659,dark_oxidation_of_sulfur_compounds,Zotu15786,methanol_oxidation,Zotu18458,photoheterotrophy,,,Zotu2921,anoxygenic_photoautotrophy,Zotu21949,anoxygenic_photoautotrophy_S_oxidizing,Zotu1468,human_pathogens_pneumonia,,,,,,,Zotu6699,nitrite_ammonification,Zotu8311,human_pathogens_diarrhea,Zotu8311,human_gut,Zotu8311,mammal_gut,Zotu8311,human_pathogens_gastroenteritis
Zotu8369,nitrification,Zotu8369,aerobic_ammonia_oxidation,Zotu13910,dark_hydrogen_oxidation,Zotu6631,methanogenesis,Zotu6631,hydrogenotrophic_methanogenesis,,,Zotu15809,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu15809,methylotrophy,Zotu15809,chemoheterotrophy,Zotu2710,fermentation,Zotu24072,aerobic_chemoheterotrophy,Zotu10063,aromatic_compound_degradation,Zotu12704,nitrogen_respiration,Zotu3817,nitrate_reduction,Zotu21949,nitrous_oxide_denitrification,Zotu21949,nitrite_denitrification,Zotu21949,nitrite_respiration,Zotu21949,denitrification,Zotu12704,nitrate_respiration,Zotu21949,nitrate_denitrification,Zotu16997,aliphatic_non_methane_hydrocarbon_degradation,Zotu11548,hydrocarbon_degradation,,,Zotu2859,ureolysis,,,Zotu18663,cellulolysis,Zotu23540,manganese_oxidation,Zotu11696,ligninolysis,Zotu21121,methanotrophy,Zotu24892,animal_parasites_or_symbionts,Zotu7013,chitinolysis,Zotu24433,xylanolysis,Zotu18566,predatory_or_exoparasitic,,,Zotu17077,oxygenic_photoautotrophy,Zotu17077,phototrophy,Zotu17077,photosynthetic_cyanobacteria,Zotu17077,photoautotrophy,Zotu10528,chloroplasts,Zotu16965,nitrogen_fixation,Zotu13045,nonphotosynthetic_cyanobacteria,Zotu22595,iron_respiration,,,,,,,,,Zotu15090,human_associated,Zotu15090,human_pathogens_all,Zotu7840,intracellular_parasites,Zotu6699,fumarate_respiration,Zotu23617,dark_oxidation_of_sulfur_compounds,Zotu2245,methanol_oxidation,Zotu2510,photoheterotrophy,,,Zotu21949,anoxygenic_photoautotrophy,Zotu18829,anoxygenic_photoautotrophy_S_oxidizing,Zotu1938,human_pathogens_pneumonia,,,,,,,Zotu25636,nitrite_ammonification,Zotu5390,human_pathogens_diarrhea,Zotu5390,human_gut,Zotu5390,mammal_gut,Zotu5390,human_pathogens_gastroenteritis
Zotu25192,nitrification,Zotu25192,aerobic_ammonia_oxidation,Zotu15542,dark_hydrogen_oxidation,Zotu15809,methanogenesis,Zotu15809,hydrogenotrophic_methanogenesis,,,Zotu4731,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu4731,methylotrophy,Zotu4731,chemoheterotrophy,Zotu10063,fermentation,Zotu11237,aerobic_chemoheterotrophy,Zotu11134,aromatic_compound_degradation,Zotu5237,nitrogen_respiration,Zotu15797,nitrate_reduction,Zotu18829,nitrous_oxide_denitrification,Zotu18829,nitrite_denitrification,Zotu18829,nitrite_respiration,Zotu18829,denitrification,Zotu5237,nitrate_respiration,Zotu18829,nitrate_denitrification,Zotu21121,aliphatic_non_methane_hydrocarbon_degradation,Zotu26869,hydrocarbon_degradation,,,Zotu13169,ureolysis,,,Zotu14542,cellulolysis,Zotu3482,manganese_oxidation,,,Zotu17391,methanotrophy,Zotu15090,animal_parasites_or_symbionts,Zotu20251,chitinolysis,Zotu12298,xylanolysis,Zotu16872,predatory_or_exoparasitic,,,Zotu5264,oxygenic_photoautotrophy,Zotu5264,phototrophy,Zotu5264,photosynthetic_cyanobacteria,Zotu5264,photoautotrophy,Zotu18286,chloroplasts,Zotu24861,nitrogen_fixation,Zotu14517,nonphotosynthetic_cyanobacteria,Zotu12800,iron_respiration,,,,,,,,,Zotu18121,human_associated,Zotu18121,human_pathogens_all,Zotu19182,intracellular_parasites,Zotu25636,fumarate_respiration,Zotu24130,dark_oxidation_of_sulfur_compounds,Zotu8107,methanol_oxidation,Zotu18337,photoheterotrophy,,,Zotu18829,anoxygenic_photoautotrophy,Zotu26846,anoxygenic_photoautotrophy_S_oxidizing,Zotu12987,human_pathogens_pneumonia,,,,,,,Zotu8311,nitrite_ammonification,Zotu4030,human_pathogens_diarrhea,Zotu4030,human_gut,Zotu4030,mammal_gut,Zotu4030,human_pathogens_gastroenteritis
Zotu22115,nitrification,Zotu22115,aerobic_ammonia_oxidation,Zotu12672,dark_hydrogen_oxidation,Zotu4731,methanogenesis,Zotu4731,hydrogenotrophic_methanogenesis,,,Zotu15101,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu15101,methylotrophy,Zotu15101,chemoheterotrophy,Zotu11134,fermentation,Zotu5500,aerobic_chemoheterotrophy,Zotu22730,aromatic_compound_degradation,Zotu20780,nitrogen_respiration,Zotu19892,nitrate_reduction,Zotu26846,nitrous_oxide_denitrification,Zotu26846,nitrite_denitrification,Zotu26846,nitrite_respiration,Zotu26846,denitrification,Zotu20780,nitrate_respiration,Zotu26846,nitrate_denitrification,Zotu17391,aliphatic_non_methane_hydrocarbon_degradation,Zotu11475,hydrocarbon_degradation,,,Zotu17763,ureolysis,,,Zotu20183,cellulolysis,Zotu7774,manganese_oxidation,,,Zotu20598,methanotrophy,Zotu18121,animal_parasites_or_symbionts,Zotu5092,chitinolysis,Zotu26778,xylanolysis,Zotu23177,predatory_or_exoparasitic,,,Zotu22964,oxygenic_photoautotrophy,Zotu22964,phototrophy,Zotu22964,photosynthetic_cyanobacteria,Zotu22964,photoautotrophy,Zotu25034,chloroplasts,Zotu10617,nitrogen_fixation,Zotu10139,nonphotosynthetic_cyanobacteria,Zotu15072,iron_respiration,,,,,,,,,Zotu5160,human_associated,Zotu5160,human_pathogens_all,Zotu23522,intracellular_parasites,Zotu8311,fumarate_respiration,Zotu11009,dark_oxidation_of_sulfur_compounds,Zotu21728,methanol_oxidation,Zotu26530,photoheterotrophy,,,Zotu26846,anoxygenic_photoautotrophy,Zotu9639,anoxygenic_photoautotrophy_S_oxidizing,Zotu9895,human_pathogens_pneumonia,,,,,,,Zotu5390,nitrite_ammonification,Zotu1556,human_pathogens_diarrhea,Zotu1556,human_gut,Zotu1556,mammal_gut,Zotu1556,human_pathogens_gastroenteritis
Zotu15795,nitrification,Zotu15795,aerobic_ammonia_oxidation,,,Zotu15101,methanogenesis,Zotu15101,hydrogenotrophic_methanogenesis,,,Zotu22660,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu22660,methylotrophy,Zotu22660,chemoheterotrophy,Zotu22730,fermentation,Zotu1514,aerobic_chemoheterotrophy,Zotu10206,aromatic_compound_degradation,Zotu17534,nitrogen_respiration,Zotu9604,nitrate_reduction,Zotu9639,nitrous_oxide_denitrification,Zotu9639,nitrite_denitrification,Zotu9639,nitrite_respiration,Zotu9639,denitrification,Zotu17534,nitrate_respiration,Zotu9639,nitrate_denitrification,Zotu25410,aliphatic_non_methane_hydrocarbon_degradation,Zotu16997,hydrocarbon_degradation,,,Zotu17078,ureolysis,,,Zotu1086,cellulolysis,Zotu3619,manganese_oxidation,,,Zotu23336,methanotrophy,Zotu5160,animal_parasites_or_symbionts,Zotu3828,chitinolysis,Zotu25214,xylanolysis,Zotu14816,predatory_or_exoparasitic,,,Zotu19496,oxygenic_photoautotrophy,Zotu19496,phototrophy,Zotu19496,photosynthetic_cyanobacteria,Zotu19496,photoautotrophy,Zotu25882,chloroplasts,Zotu18472,nitrogen_fixation,Zotu16181,nonphotosynthetic_cyanobacteria,Zotu15800,iron_respiration,,,,,,,,,Zotu24923,human_associated,Zotu24923,human_pathogens_all,Zotu22505,intracellular_parasites,Zotu5390,fumarate_respiration,,,Zotu7993,methanol_oxidation,Zotu17721,photoheterotrophy,,,Zotu9639,anoxygenic_photoautotrophy,Zotu25281,anoxygenic_photoautotrophy_S_oxidizing,Zotu2211,human_pathogens_pneumonia,,,,,,,Zotu4030,nitrite_ammonification,Zotu6205,human_pathogens_diarrhea,Zotu6205,human_gut,Zotu6205,mammal_gut,Zotu6205,human_pathogens_gastroenteritis
Zotu851,nitrification,Zotu851,aerobic_ammonia_oxidation,,,Zotu22660,methanogenesis,Zotu22660,hydrogenotrophic_methanogenesis,,,Zotu11684,methanogenesis_by_reduction_of_methyl_compounds_with_H2,Zotu11684,methylotrophy,Zotu11684,chemoheterotrophy,Zotu10206,fermentation,Zotu15468,aerobic_chemoheterotrophy,Zotu16174,aromatic_compound_degradation,Zotu4418,nitrogen_respiration,Zotu12690,nitrate_reduction,Zotu25281,nitrous_oxide_denitrification,Zotu25281,nitrite_denitrification,Zotu25281,nitrite_respiration,Zotu25281,denitrification,Zotu4418,nitrate_respiration,Zotu25281,nitrate_denitrification,,,Zotu21121,hydrocarbon_degradation,,,Zotu22383,ureolysis,,,Zotu8186,cellulolysis,Zotu8264,manganese_oxidation,,,Zotu22211,methanotrophy,Zotu24923,animal_parasites_or_symbionts,Zotu17384,chitinolysis,Zotu15956,xylanolysis,Zotu25399,predatory_or_exoparasitic,,,Zotu19299,oxygenic_photoautotrophy,Zotu19299,phototrophy,Zotu19299,photosynthetic_cyanobacteria,Zotu19299,photoautotrophy,Zotu14480,chloroplasts,Zotu22376,nitrogen_fixation,Zotu27042,nonphotosynthetic_cyanobacteria,Zotu10826,iron_respiration,,,,,,,,,Zotu21021,human_associated,Zotu21021,human_pathogens_all,Zotu21578,intracellular_parasites,Zotu4030,fumarate_respiration,,,Zotu8775,methanol_oxidation,Zotu23800,photoheterotrophy,,,Zotu25281,anoxygenic_photoautotrophy,Zotu17131,anoxygenic_photoautotrophy_S_oxidizing,Zotu4221,human_pathogens_pneumonia,,,,,,,Zotu1556,nitrite_ammonification,Zotu4781,human_pathogens_diarrhea,Zotu4781,human_gut,Zotu4781,mammal_gut,Zotu4781,human_pathogens_gastroenteritis
