sample,longitude,latitude,Ammonium,Nitrate,moisture,pH,AP,clay,silt,sand,altitude,MAT,MAP,TC,TN,C/N,AK
X001a,102.455661,25.337594,3.547520189,8.290861146,0.291,5.4,23.34684,0.034066818,0.22150742,0.744425762,1703,16.44583321,817,1.198022,0.143384,8.355339508,2.907824351
X002a,102.781582,25.736955,4.643877125,11.57135965,0.38,6.55,25.1205,0.047032772,0.16465899,0.788308237,2014,14.15416622,866,1.775277,0.142263,12.47883849,6.68132
X003a,103.065104,25.323803,4.126336263,35.27401942,0.2224,6.86,140.35175,0.017653759,0.10943432,0.872911921,1864,15.10000038,882,2.869225,0.1929,14.87415759,2.535235435
X004a,103.179903,26.066556,6.415513798,16.90695335,0.1523,7.38,72.761,0.022954561,0.164843278,0.812202161,1180,18.79999924,723,1.94928,0.119028,16.37665087,3.10804
X005a,103.17793,26.558334,6.402386143,20.93107674,0.14,5.37,54.316128,0.010984368,0.124911984,0.864103647,2142,12.60833359,898,1.50524,0.133851,11.24563881,2.82576
X006a,103.554072,26.882896,9.139058833,17.73632097,0.1692,6.25,70.16088,0.025307303,0.178235719,0.796456978,1639,14.58749962,869,1.43824,0.108916,13.20503875,3.26488
X007a,103.397531,27.230433,10.43761878,11.67584945,0.3132,4.35,15.904608,0.021163435,0.124432133,0.854404432,2339,11.03333378,907,3.544289,0.293788,12.06410405,1.192323071
X008a,103.738686,27.333369,9.904098209,2.780942639,0.1734,6.41,24.307128,0.017903445,0.140140758,0.841955797,1885,12.64583302,876,2.951885,0.125553,23.51106704,2.56500399
X009a,103.591218,27.801613,14.49145782,119.9824173,0.3016,4.54,82.84875,0.028352567,0.119976124,0.851671309,2110,10.57499981,869,1.738346,0.183188,9.489409787,3.363137445
X010a,103.857496,28.047247,5.761635802,19.29148699,0.2652,6.5,16.27554,0.039164913,0.145007283,0.815827804,1081,12.98333359,885,1.367197,0.147001,9.300596595,1.16272473
X011a,104.083617,28.03995,6.234022165,1.907156323,0.2801,7.65,11.96759,0.063017187,0.240398897,0.696583917,522,16.51666641,1025,1.1825,0.124586,9.491435635,1.13872
X012a,104.471268,27.865039,10.10837348,7.400437373,0.2338,6.89,11.11598,0.049871567,0.200474215,0.749654219,512,16.77499962,1021,1.136303,0.09304,12.2130589,9.0332
X013a,104.811363,27.660052,12.75269733,11.8828063,0.3448,5.88,2.220504,0.018845204,0.080799567,0.900355229,1439,12.76666641,978,3.154705,0.280639,11.24114966,3.8608
X014a,104.969408,27.400099,9.966701413,16.66124516,0.2331,6.2,5.35156,0.029642249,0.115758092,0.854599659,1438,13.36250019,1002,2.42527,0.132259,18.33727761,0.730710863
X015a,104.396688,26.320842,10.8911841,160.3765007,0.2873,5.94,3.95114,0.015095322,0.089791138,0.89511354,1927,12.84166718,1048,2.471529,0.175923,14.04892481,6.23692
X016a,104.211455,26.489755,61.94039693,95.42553752,0.1535,4.64,112.32,0.058379738,0.271780133,0.669840129,1782,13.6916666,989,1.58379,0.190146,8.329336405,1.957377049
X017a,104.090617,26.07866,10.39621812,87.7632986,0.2517,6.16,78.323328,0.022309952,0.146896805,0.830793243,1974,13.64583302,1016,2.081121,0.142627,14.59135367,0.793859649
X018a,103.764117,26.055674,11.83859464,28.72334976,0.3056,5.01,0.780072,0.09768993,0.151700016,0.750610054,2003,13.98750019,938,0.891645,0.06292,14.17109027,2.570943245
X019a,103.579839,26.365231,9.731010143,10.71012027,0.2267,6.49,32.94972,0.031788793,0.20489532,0.763315887,2071,13.11666679,917,8.837564,0.187621,47.10327735,2.917433027
X020a,103.858918,25.293333,8.736683151,10.17271133,0.2086,7.07,29.0342,0.022881356,0.097336562,0.879782082,1832,14.82499981,996,2.463703,0.201175,12.24656642,1.781287485
X021a,104.265403,25.70651,11.35915327,2.438566013,0.2539,5.05,1.020144,0.01240882,0.151001928,0.836589251,1840,14.11250019,1096,0.813382,0.056518,14.39155667,2.158516155
X022a,104.31354,25.429665,8.916211864,10.63845096,0.2588,6.28,3.420864,0.022223325,0.121732229,0.856044447,1754,14.64583302,1110,4.507296,0.226231,19.9234234,1.731683958
X023a,104.496214,25.030165,8.781406117,6.078648496,0.1624,6.19,16.384752,0.017007894,0.132083948,0.850908157,1208,16.88750076,1135,1.423954,0.142363,10.00227587,2.237804391
X024a,104.03598,24.848104,8.805905732,11.70203025,0.2245,5.45,91.11043333,0.014226437,0.148043865,0.837729698,1834,14.67500019,1039,2.091245,0.167317,12.49870007,1.121223022
X025a,103.621304,25.04071,11.78007198,25.00733853,0.2438,5.04,35.590512,0.021362916,0.116830428,0.861806656,1848,15.20416641,960,2.04564,0.173403,11.79702773,2.070355573
X026a,103.273602,24.813561,9.739377648,22.22985444,0.2378,6.88,76.7161,0.024654172,0.105198572,0.870147256,1677,15.97500038,907,2.710627,0.182135,14.88251572,2.867623604
X027a,103.66891,24.421033,8.370751148,11.42848025,0.174,6.71,22.90926,0.027942539,0.153707136,0.818350324,1671,15.45833397,986,1.291824,0.127085,10.16503915,1.142258579
X028a,103.355551,23.988548,2.384895857,11.22130357,0.0721,6.5,22.17218,0.007648579,0.128165375,0.864186047,1121,18.60416603,932,1.098774,0.095455,11.5109109,9.153950519
